site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
nhdhr_26048014,390,39004,401,128,2105000.66313347,-74.83593081429481,41.07258540643559,146
nhdhr_64654488,390,39004,401,124,9200991.41533434,-74.82558874100411,40.61588745955824,114
nhdhr_120022890,390,39004,401,129,2181845.99524346,-74.7761294771716,41.169787563297376,258
nhdhr_26057916,390,39004,402,127,1279454.24665494,-74.6939411594165,40.90726662733027,258
nhdhr_61790821,390,39004,404,129,1695130.59460838,-74.3809297502294,41.17470678636571,330
nhdhr_29850473,436,43600,399,116,132614.048699476,-75.08292121524464,39.59738985948307,25
nhdhr_25603209,390,39004,401,118,63665.4575475357,-74.86204664005335,39.81649044264432,25
nhdhr_167296357,390,39004,401,127,41821.7017612271,-74.85052557511159,40.90324471972545,177
nhdhr_26035602,390,39004,401,129,49641.2764674006,-74.8353217041248,41.14292943597233,267
nhdhr_26061040,390,39004,401,127,194805.436033258,-74.81560664246156,40.911627238937356,238
nhdhr_25603315,390,39010,401,118,74501.539147566,-74.80133951900721,39.86016894980667,15
nhdhr_25603281,390,39004,401,118,110126.892396558,-74.788651446007,39.84998616772226,19
nhdhr_26058458,390,39004,402,127,127340.738268721,-74.7046141404675,40.9706558274527,227
nhdhr_26046630,390,39004,402,128,126946.548854936,-74.7158357199391,41.03161350170602,180
nhdhr_26058450,390,39004,402,127,147467.899002224,-74.69477392157468,40.99182187605829,248
nhdhr_26166122,390,39009,402,130,73401.5161684975,-74.66706408992933,41.31726541130067,478
nhdhr_167667267,390,39004,403,119,45755.2395182587,-74.5755730260549,39.99138962847248,24
nhdhr_25472136,390,39004,403,121,76737.9526118934,-74.51021449332296,40.164442068340136,30
nhdhr_167586792,390,39004,403,129,79611.8668071404,-74.52067722668288,41.16139980597039,393
nhdhr_61762185,390,39004,403,129,39631.569658041,-74.52232735802288,41.24659003770139,305
nhdhr_25621692,390,39004,404,119,43871.4155952986,-74.4664829564669,39.97665771546689,32
nhdhr_{4245987F-88B4-477E-8FD0-B683BD9B747D},390,39004,404,117,94099.056262536,-74.44394230228741,39.62831697189259,3
nhdhr_60447025,390,39004,404,128,1134567.3202103,-74.40999245320167,41.059746385250946,272
nhdhr_60447081,390,39004,404,128,59039.3525081538,-74.39069773657863,41.03360627920365,241
nhdhr_167740878,390,39004,405,128,56456.3081122958,-74.29715518305025,41.01175087261046,63
nhdhr_{D6AA928B-DC70-4B63-8475-B8A9003E94FE},390,39004,407,121,78231.3668416543,-74.06283793109382,40.15514628035415,6
nhdhr_139725621,390,39009,422,127,321059.412880434,-72.18692126974486,40.950471279926376,1
nhdhr_61772655,390,39004,402,128,3069123.10744419,-74.65913398116481,41.01953384734237,230
nhdhr_{E25FD212-AA7B-4AC7-919D-6EEDD10D0C75},390,39004,396,117,519020.577661309,-75.4578955369826,39.7485195796042,0
nhdhr_29851729,390,39004,396,117,46703.7081425451,-75.4479278890984,39.69978497006405,0
nhdhr_25625490,390,39004,397,117,47338.2507236246,-75.28189614586736,39.73280919901333,7
nhdhr_167667139,436,43600,397,117,71462.3768815137,-75.263196832235,39.68177983462257,16
nhdhr_{C46F4520-6C9A-47DA-B80E-8F7CFF66A5C7},390,39009,397,115,86692.8213059157,-75.25050940041561,39.446880393593005,9
nhdhr_29838761,436,43600,398,116,373933.41024666,-75.13517240660458,39.50898579224038,20
nhdhr_29854857,390,39004,398,117,159018.931708666,-75.12901980421358,39.63128020272376,33
nhdhr_120022732,390,39004,399,118,132943.255230236,-75.06037374034199,39.752147768146585,27
nhdhr_{04546A49-514A-4F55-B0E7-6AFAE054E353},436,43600,400,117,324516.603236093,-74.9565583924397,39.64113950200017,30
nhdhr_64665250,390,39004,400,124,42959.0749980584,-74.90336226111334,40.588850781680186,69
nhdhr_102063244,390,39004,400,116,88060.5215799378,-74.87599872305616,39.520626131503896,21
nhdhr_167667359,390,39004,400,118,122299.416917304,-74.87599243123874,39.85779749413521,15
nhdhr_25474718,390,39004,401,120,60221.5143481633,-74.85900875783884,40.05440607450252,13
nhdhr_64660466,390,39004,401,123,42661.9686640743,-74.84188904812993,40.4003590148336,100
nhdhr_120022920,390,39004,401,127,103035.625727626,-74.76902075088339,40.93039216431434,249
nhdhr_26166322,390,39004,402,130,195089.23973763,-74.72824586234908,41.2673876178273,342
nhdhr_25613112,390,39004,402,119,95088.6062272734,-74.70793805064086,39.8895869279718,13
nhdhr_102015314,390,39004,403,114,193872.640840625,-74.57824354347841,39.36420630229693,1
