,site_id,FType,FCode,x,y,area_m2,lon,lat,elevation
3243,nhdhr_120022101,390,39009,298,97,3196564.51144357,-87.68883499002321,37.126395328287074,193
4241,nhdhr_155635994,390,39009,316,137,3198515.02996853,-85.48605650133345,42.151373204254654,258
9066,nhdhr_123272280,390,39004,231,180,3199107.9577956,-96.0787630943298,47.601081293766725,377
5660,nhdhr_114539725,390,39004,278,184,3200602.23720812,-90.201307517849,48.08585359329396,474
5650,nhdhr_80996323,390,39004,272,184,3202390.92515136,-90.88312919905107,48.041692976782706,518
2673,nhdhr_155281230,390,39004,298,121,3205051.09155173,-87.6437203947057,40.17637934751603,176
9130,nhdhr_120020979,390,39004,256,174,3216204.09365779,-92.90487483193182,46.791243356228904,388
2494,nhdhr_123167025,390,39004,300,130,3218902.63862517,-87.43239486103847,41.37037593363497,210
4103,nhdhr_155639336,390,39009,319,133,3229735.74526883,-85.05329328914598,41.67588274293463,302
442,nhdhr_125212799,390,39001,154,101,3230137.26676799,-105.72442408442416,37.67520994631201,2290
11971,nhdhr_74926527,390,39004,268,166,3234323.47034789,-91.44528442052696,45.862868198627396,392
10863,nhdhr_131457724,390,39004,228,93,3238781.2694953997,-96.41922641543924,36.70549977346421,266
3930,nhdhr_151873944,390,39004,326,136,3241355.26192374,-84.15669893770256,42.07349025404536,294
5083,nhdhr_120018211,390,39004,250,160,3247000.82236525,-93.64961924890764,45.03000424224554,291
1637,nhdhr_107775217,390,39004,349,31,3248419.08192212,-81.34616625660158,28.98857772431327,0
6338,nhdhr_120018672,390,39004,235,168,3250888.4582097,-95.59894912131443,46.06134981004861,411
12265,nhdhr_74926703,390,39004,267,166,3252202.03920384,-91.5179541296605,45.79089612167954,402
10569,nhdhr_70796587,390,39004,177,174,3254615.79692301,-102.85553930452649,46.85883815753871,736
590,nhdhr_82614746,390,39009,137,100,3255274.99559337,-107.80592914652722,37.56736871954974,2542
2488,nhdhr_121623165,390,39004,292,142,3259770.13630049,-88.38865563366156,42.821988442472524,246
3486,nhdhr_141034311,390,39004,430,144,3271331.2003313,-71.14541580061878,43.089006341455324,117
1182,nhdhr_78686085,390,39009,346,24,3273181.62184398,-81.66758262597274,28.091962176711373,38
611,nhdhr_136353699,390,39004,141,101,3277889.42854414,-107.3021023495772,37.729215856053756,2862
9164,nhdhr_120020643,390,39004,275,182,3278624.45544506,-90.59157697886904,47.765683608307675,452
362,nhdhr_108312169,390,39004,20,137,3279073.42002941,-122.45396628647691,42.186167579163865,1530
9847,nhdhr_127743117,390,39009,195,141,3282227.40405711,-100.61382587297756,42.628958930804025,875
12278,nhdhr_143249294,390,39004,292,144,3284412.90251548,-88.45415361607199,43.09927691556813,262
10697,nhdhr_148621844,390,39009,211,164,3286195.25488614,-98.61448684001098,45.55569365785451,414
10608,nhdhr_145410044,390,39004,200,177,3287028.66030614,-99.9998963354492,47.1811797293635,563
8494,nhdhr_86366027,390,39004,237,166,3287622.79956761,-95.37107114384523,45.77825364555058,422
1188,nhdhr_112035917,390,39009,350,25,3293955.50542444,-81.18573582955439,28.245216005680863,18
7963,nhdhr_120019491,390,39004,240,177,3299611.05470904,-94.97533932272164,47.193369051368464,431
6212,nhdhr_{139391AB-F7E2-401F-8364-F962B61F9E14},390,39004,255,159,3300006.92613603,-93.02681560284195,44.91490061378693,209
5550,nhdhr_121840225,390,39004,235,177,3300314.45576201,-95.60357354411993,47.151098228088706,466
10586,nhdhr_143414668,390,39004,214,184,3302853.6930035,-98.17049284634821,48.06846873503069,459
10314,nhdhr_127584589,390,39009,158,86,3303105.85912867,-105.14435057164148,35.758816621236726,2060
9643,nhdhr_63760109,390,39004,90,179,3303463.13162247,-113.73353330459265,47.38123308050174,1439
3410,nhdhr_152243780,390,39004,457,163,3307648.98166618,-67.80026166202394,45.4095480433765,111
667,nhdhr_122359746,390,39010,424,132,3309072.24293771,-71.90809013593638,41.56590216824048,48
9127,nhdhr_120019933,390,39004,250,173,3312159.8238922996,-93.69314770117235,46.73949751723768,376
10643,nhdhr_145417154,390,39004,202,174,3314726.4807933997,-99.74993346343405,46.818842734326104,527
761,nhdhr_125958327,390,39009,345,38,3315243.96371932,-81.8490774652504,29.793088591685663,28
7369,nhdhr_120020257,390,39004,246,156,3318348.03746034,-94.20758497946696,44.56869902426399,300
11522,nhdhr_{fe15024e-800f-4387-bf1f-b6bd9f210ef8},390,39004,317,120,3320114.61780613,-85.30946894032883,40.02735703682461,325
3093,nhdhr_34706958,390,39004,237,99,3320167.51042952,-95.3426032171319,37.410509825104974,280
11335,nhdhr_61501385,436,43621,372,97,3320680.02942096,-78.45611274983187,37.18250066208139,114
7982,nhdhr_120019315,390,39004,252,164,3322864.10252091,-93.43976701598957,45.57333538089559,280
4432,nhdhr_83975907,390,39004,325,158,3323275.70819613,-84.30853085298189,44.870230034455155,372
5593,nhdhr_47717792,390,39004,247,179,3323499.34115472,-94.02380105265871,47.41771668299716,390
7428,nhdhr_105954515,390,39004,262,183,3336287.55693206,-92.24787594407374,47.937791995861424,426
4730,nhdhr_121860736,390,39004,312,147,3337494.17606972,-85.96677323119843,43.450135580220135,227
239,nhdhr_130877172,390,39009,108,80,3341447.87394883,-111.49056929083464,35.059834803802545,2080
6178,nhdhr_45380691,390,39004,241,166,3341991.28901626,-94.7923255008968,45.781351936280956,369
10594,nhdhr_150019963,390,39004,200,191,3345397.2258387995,-99.97689007227257,48.96093276001545,666
4712,nhdhr_69884644,390,39004,281,169,3351669.27223315,-89.76970224418562,46.1547458398052,491
1495,nhdhr_113647267,390,39004,342,38,3351952.01999907,-82.16941933953139,29.859468802652007,39
5626,nhdhr_69544497,390,39004,265,170,3352601.73658377,-91.80386402537829,46.35654188252516,309
12187,nhdhr_151949571,390,39004,263,164,3354894.36592955,-92.04630023106272,45.55445937679674,376
3763,nhdhr_155637876,390,39009,315,134,3355521.44316069,-85.54504657094381,41.804905233645094,245
4747,nhdhr_123111245,390,39004,328,167,3356073.84725305,-83.9937012689962,45.99690372347398,194
6209,nhdhr_120018154,390,39004,253,155,3357395.67238222,-93.34213928580108,44.41519802922772,317
8013,nhdhr_69543777,390,39004,267,170,3360867.39948187,-91.52140011407822,46.295545138986256,341
11531,nhdhr_90362656,390,39009,305,111,3362936.16825131,-86.84238416310622,38.88408782369858,176
11809,nhdhr_76669453,436,43600,355,110,3366386.93823197,-80.59006912832434,38.816557497908214,271
3431,nhdhr_{08A1ED11-309D-427F-A22E-661EDA50562B},390,39004,426,159,3372001.9023942,-71.70283272866772,44.98431810391128,513
4404,nhdhr_123397479,390,39004,285,169,3374829.45614074,-89.32029048668205,46.22517986399615,521
7331,nhdhr_120020677,390,39004,236,151,3376237.10002036,-95.45250247053205,43.87771593653946,428
5123,nhdhr_{F579FBF5-C97A-4D38-8397-C17C7EA6AC0B},390,39004,272,183,3376577.70352472,-90.8761608896722,47.893010698760826,544
3208,nhdhr_26852502,390,39006,338,101,3385242.13781927,-82.71409746120447,37.70891510118777,262
9070,nhdhr_120018364,390,39004,239,161,3385972.45685048,-95.00077869663895,45.184692858855435,343
5536,nhdhr_86280333,390,39004,233,171,3387460.98368139,-95.80522584047621,46.42703417021508,405
7343,nhdhr_120018567,390,39004,232,172,3390484.23516522,-95.98976895698877,46.53592454087698,401
4575,nhdhr_75473225,390,39004,287,167,3392415.95978235,-89.00140264050705,45.935525072891245,518
11505,nhdhr_155351279,390,39009,313,130,3393431.99223535,-85.76288829701083,41.32730928692725,254
3755,nhdhr_{04CE6E62-AFE9-4219-BA2E-77AD09FE58D6},390,39004,287,167,3396452.70294095,-89.09579090587616,45.89776056999078,500
3277,nhdhr_{066D21FA-FD06-4671-99B6-297639B386C7},390,39004,272,35,3402706.39134768,-90.92011102222817,29.438947661430465,0
763,nhdhr_164161194,390,39004,346,32,3407609.24832552,-81.63916023724512,29.115463521521946,14
4409,nhdhr_109946172,390,39004,305,171,3411223.69575882,-86.84021204328235,46.401744907154296,186
4777,nhdhr_{AD0FF5A8-D8BF-48BF-985A-3124A3FA39A1},390,39004,287,166,3414749.90984399,-89.11997709862145,45.75951990875496,495
11970,nhdhr_47478911,390,39004,265,169,3425311.43643991,-91.87219216356995,46.21389667640037,314
363,nhdhr_120028186,390,39004,27,97,3430604.70489879,-121.6190206614512,37.17059669409243,191
11820,nhdhr_155444798,390,39004,283,149,3430959.04532138,-89.60793299420361,43.657787289157476,243
11031,nhdhr_143987572,390,39004,171,152,3432995.76766489,-103.5068597974371,44.07516438689825,1396
686,nhdhr_123632759,390,39009,415,136,3433940.19633367,-73.04805933539853,42.028000222649105,216
4104,nhdhr_152094959,390,39004,325,137,3434005.98488348,-84.31146592520473,42.211026461837136,285
12053,nhdhr_77358700,390,39004,277,166,3440006.72807734,-90.37190242101757,45.75399763001422,451
