,site_id,x,y,area_m2,lon,lat,log_area,cluster
2913,nhdhr_133532234,247,130,338288.933371879,-0.36804310563783693,0.06350286732860647,-0.30677511859624645,13
2914,nhdhr_130994507,222,151,5189846.16471699,-0.672510020537893,0.46606787152528734,1.3539989453388706,15
2918,nhdhr_107283787,243,115,31648844.5652583,-0.4174841620074479,-0.2328217744700772,2.4536549234042115,9
2922,nhdhr_74256384,230,129,873899.507777652,-0.5747598237104264,0.03187097012529991,0.27046294774849994,13
2923,nhdhr_132542847,235,148,453571.94551487704,-0.5236894760768069,0.39189028706657264,-0.1284131505803948,13
2924,nhdhr_132543067,238,147,227832.179678842,-0.4805280232772914,0.3846740457259406,-0.5471981034085835,0
2925,nhdhr_120825661,240,147,682556.13825283,-0.45898444770330465,0.38441643640372436,0.12015983874668391,13
2926,nhdhr_120871512,242,149,616753.35167054,-0.4364013115839899,0.4149505182183708,0.05850142062707375,13
2927,nhdhr_118874559,244,149,320623.243639733,-0.41315149240208937,0.42627811406909216,-0.33939603392098167,13
2928,nhdhr_118874975,245,149,750056.546540469,-0.40319552855794966,0.4127063856249636,0.17751708411334644,13
2930,nhdhr_130643065,252,147,144940.31722305302,-0.3170738322817966,0.3716907823701147,-0.8222871765564741,0
2932,nhdhr_147258194,253,126,167171.161425076,-0.3041884843709025,-0.031152641694807696,-0.7354968622362374,12
2933,nhdhr_147258740,256,125,450611.79947961203,-0.26184887987014394,-0.038011588143556894,-0.13239556986623627,5
2934,nhdhr_130994966,224,151,4175587.67161784,-0.6509916139469126,0.45540031475787557,1.2217426649656407,15
2935,nhdhr_74255958,232,130,1163856.79784234,-0.5519132837058788,0.05244633248247171,0.4447350575166135,1
2936,nhdhr_132542282,239,149,1716468.53696669,-0.47203974027361695,0.4101026627034111,0.6810456575511553,1
2937,nhdhr_118874817,242,149,3654240.27978613,-0.43498606062626155,0.41783363708360205,1.1406265707069203,1
2939,nhdhr_120020691,244,148,2243343.83503635,-0.4129866870149827,0.409441434572356,0.843864620222484,1
2940,nhdhr_133551357,249,128,1168801.9506644,-0.3502064315465853,0.012031325757121108,0.4473138604039215,1
2941,nhdhr_118874911,250,149,1030844.45592446,-0.3426960017771827,0.41271932189781946,0.37092116608563136,1
